epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,853.619,1.16345,1.05603,1.34062,0.71518,0.63909,0.73928,0.50381,1.19344,1.02606,1.35759,0.0011882,0.0011882,0.0011882
43,868.756,1.1741,1.02636,1.3396,0.73977,0.61351,0.72691,0.50175,1.20422,1.01636,1.36663,0.0011684,0.0011684,0.0011684
44,883.732,1.14372,1.04148,1.34245,0.70587,0.69128,0.75115,0.51738,1.17197,1.0119,1.33827,0.0011486,0.0011486,0.0011486
45,898.682,1.16132,1.03712,1.33034,0.66458,0.69521,0.74021,0.51095,1.18763,1.05159,1.36421,0.0011288,0.0011288,0.0011288
46,1041.64,1.16801,1.00649,1.33287,0.71901,0.69549,0.76257,0.52961,1.17264,0.97559,1.34385,0.001109,0.001109,0.001109
47,1061.48,1.14273,1.00241,1.32606,0.68545,0.69207,0.74763,0.51939,1.19136,1.00736,1.36268,0.0010892,0.0010892,0.0010892
48,1093.09,1.14947,1.00103,1.32684,0.68231,0.68107,0.73384,0.50975,1.19456,1.02253,1.36292,0.0010694,0.0010694,0.0010694
49,1128.03,1.11783,0.98892,1.31704,0.74191,0.64336,0.74486,0.52487,1.17504,0.98915,1.35078,0.0010496,0.0010496,0.0010496
50,1163.88,1.12842,0.9874,1.31587,0.72598,0.68055,0.74607,0.52147,1.15458,1.00425,1.33219,0.0010298,0.0010298,0.0010298
51,1199.63,1.12203,0.97803,1.31837,0.69848,0.69049,0.74876,0.5202,1.15949,0.98946,1.34489,0.00101,0.00101,0.00101
52,1235.4,1.14923,0.98021,1.31553,0.68574,0.68735,0.75151,0.52587,1.16046,0.9841,1.33492,0.0009902,0.0009902,0.0009902
53,1271.27,1.13188,0.97413,1.32791,0.68813,0.69128,0.74538,0.51195,1.17232,0.9748,1.34542,0.0009704,0.0009704,0.0009704
54,1307.3,1.12167,0.97259,1.31531,0.73806,0.67793,0.76614,0.53115,1.14202,0.95742,1.32743,0.0009506,0.0009506,0.0009506
55,1343.83,1.1048,0.9673,1.31287,0.71432,0.70306,0.75028,0.52431,1.15877,0.98127,1.33204,0.0009308,0.0009308,0.0009308
56,1381.83,1.10859,0.96978,1.2964,0.71771,0.67106,0.75561,0.53958,1.1158,0.95608,1.29924,0.000911,0.000911,0.000911
